"SECURITIES","ERROR CODE","NUM FLDS","PX_LAST","TODAY_DT"
"USRB0201 Curncy",0,2,"N.A.","06/30/2016",
"USRB0202 Curncy",0,2,"N.A.","06/30/2016",
"USRB0203 Curncy",0,2,"N.A.","06/30/2016",
"USRB0204 Curncy",0,2,"N.A.","06/30/2016",
"USRB0205 Curncy",0,2,"N.A.","06/30/2016",
"USRB0207 Curncy",0,2,"N.A.","06/30/2016",
"USRB0210 Curncy",0,2,"N.A.","06/30/2016",
"USRB0220 Curncy",0,2,"N.A.","06/30/2016",
"USRB0230 Curncy",0,2,"N.A.","06/30/2016",
"USRB0302 Curncy",0,2,"N.A.","06/30/2016",
"USRB0303 Curncy",0,2,"N.A.","06/30/2016",
"USRB0304 Curncy",0,2,"N.A.","06/30/2016",
"USRB0305 Curncy",0,2,"N.A.","06/30/2016",
"USRB0307 Curncy",0,2,"N.A.","06/30/2016",
"USRB0310 Curncy",0,2,"N.A.","06/30/2016",
"USRB0320 Curncy",0,2,"N.A.","06/30/2016",
"USRB0330 Curncy",0,2,"N.A.","06/30/2016",
"USRB0402 Curncy",0,2,"N.A.","06/30/2016",
"USRB0403 Curncy",0,2,"N.A.","06/30/2016",
"USRB0404 Curncy",0,2,"N.A.","06/30/2016",
"USRB0405 Curncy",0,2,"N.A.","06/30/2016",
"USRB0407 Curncy",0,2,"N.A.","06/30/2016",
"USRB0410 Curncy",0,2,"N.A.","06/30/2016",
"USRB0420 Curncy",0,2,"N.A.","06/30/2016",
"USRB0430 Curncy",0,2,"N.A.","06/30/2016",
"USRB0501 Curncy",0,2,"N.A.","06/30/2016",
"USRB0502 Curncy",0,2,"N.A.","06/30/2016",
"USRB0503 Curncy",0,2,"N.A.","06/30/2016",
"USRB0504 Curncy",0,2,"N.A.","06/30/2016",
"USRB0505 Curncy",0,2,"N.A.","06/30/2016",
"USRB0507 Curncy",0,2,"N.A.","06/30/2016",
"USRB0510 Curncy",0,2,"N.A.","06/30/2016",
"USRB0520 Curncy",0,2,"N.A.","06/30/2016",
"USRB0530 Curncy",0,2,"N.A.","06/30/2016",
"USRB1001 Curncy",0,2,"N.A.","06/30/2016",
"USRB1002 Curncy",0,2,"N.A.","06/30/2016",
"USRB1003 Curncy",0,2,"N.A.","06/30/2016",
"USRB1004 Curncy",0,2,"N.A.","06/30/2016",
"USRB1005 Curncy",0,2,"N.A.","06/30/2016",
"USRB1007 Curncy",0,2,"N.A.","06/30/2016",
"USRB1010 Curncy",0,2,"N.A.","06/30/2016",
"USRB1020 Curncy",0,2,"N.A.","06/30/2016",
"USRB1030 Curncy",0,2,"N.A.","06/30/2016",
"USRB1501 Curncy",0,2,"N.A.","06/30/2016",
"USRB2001 Curncy",0,2,"N.A.","06/30/2016",
"USRB2002 Curncy",0,2,"N.A.","06/30/2016",
"USRB2005 Curncy",0,2,"N.A.","06/30/2016",
"USRB2010 Curncy",0,2,"N.A.","06/30/2016",
